Date,Minimum temperature (Deg C),Maximum Temperature (Deg C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (Deg C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (Deg C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2019-06-29,13,17.6,0.8,4.2,1.1,N,52,12:45:00,14.1,86,7,NE,13,1014.6,13.9,85,7,NNE,20,1006
2019-06-30,8.1,14.5,6.4,3.2,8.1,N,39,13:08:00,10.3,61,1,NNW,13,1018,13.3,51,7,NNW,17,1018.9
2018-07-1,3.5,14.7,0.4,2,8.3,NNW,19,00:57:00,5.7,84,5,NNE,9,1032.5,12.4,63,7,SSW,6,1031.2
2018-07-2,2.4,14.6,0,0.6,8.9,N,33,16:10:00,4.1,92,1,NNE,9,1032.3,13.9,48,1,N,17,1028.2
2018-07-3,4.1,14.3,0,NA,3.1,NNW,52,11:13:00,10.4,69,7,N,20,1026,13.4,63,6,N,24,1023.8
2018-07-4,10.4,17.1,0,NA,2.9,N,57,13:28:00,13.7,59,7,N,24,1021.3,16.2,49,5,N,28,1018
2018-07-5,12.7,18.7,0.4,NA,4.2,N,56,15:44:00,14.3,55,7,N,17,1016.2,17.8,46,6,N,28,1007.8
2018-07-6,12.5,15.2,0,NA,6.7,NW,48,14:41:00,12.5,66,7,WNW,17,1005.8,14.2,44,3,NW,20,1007.7
2018-07-7,9.6,12.9,1.2,NA,5,NW,50,08:32:00,9.7,69,7,NW,20,1004.5,11.8,60,7,W,19,1010.8
2018-07-8,9.3,13.9,0.8,NA,3.6,W,39,01:30:00,11.4,77,7,W,13,1018.3,13.6,70,7,WSW,11,1020
2018-07-9,10.1,13.8,1.2,2.8,2.9,SW,31,12:43:00,10.5,77,6,SSW,6,1027.5,13.1,65,7,SW,11,1027.6
2018-07-10,9.3,11.5,0,1.2,1.7,N,24,13:42:00,9.5,64,7,WNW,7,1029.4,10.6,63,7,N,11,1027
2018-07-11,6.6,11.6,0,3,0.3,NNW,37,11:26:00,8.6,62,7,N,11,1023,11.4,54,7,NNE,15,1021
2018-07-12,4.3,11.3,0,0.2,4.5,WSW,17,10:28:00,7.7,82,7,NA,Calm,1023.3,10.8,76,7,S,7,1020.7
2018-07-13,5.8,13.9,0.2,0.8,5.9,SW,20,13:18:00,7.2,100,3,NNE,6,1022.8,13.1,63,5,SW,9,1021.4
2018-07-14,4.4,15.5,0,1.2,9.5,N,26,15:18:00,6,86,1,NE,9,1022.2,14.8,43,1,N,13,1017.6
2018-07-15,6,13.8,0,3.2,9,N,50,13:38:00,7.9,66,1,N,24,1015.3,13.5,45,1,NNW,24,1011.7
2018-07-16,7.9,12.6,0,5,3.6,N,46,12:22:00,10.1,55,7,N,13,1008.3,12.3,55,7,N,17,1006.6
2018-07-17,9.1,17.5,0,5.2,7.6,N,69,10:06:00,10.7,58,1,N,22,1006.1,16.2,45,6,N,35,998.8
2018-07-18,6.2,15.2,1.2,4,9.1,N,57,14:32:00,8.8,77,1,NNE,11,1015.4,14.7,49,6,NNW,22,1012.5
2018-07-19,8.7,17.6,0,6.6,6.4,N,52,07:32:00,10.6,53,7,N,26,1008.1,16.7,42,6,NNW,19,1004.5
2018-07-20,7.2,12.1,4.4,0,5.4,W,43,13:11:00,8.8,66,1,NW,11,1008.9,11.2,66,4,WNW,17,1010.4
2018-07-21,6.7,14,0.2,2.2,1.7,N,31,13:46:00,8.1,79,7,NNE,9,1022.4,12.4,51,6,NNW,13,1021.6
2018-07-22,8,14.8,0,2.2,9.2,N,41,13:16:00,9,66,1,N,17,1023.1,14.1,43,1,N,20,1018.4
2018-07-23,8.4,15.4,0.2,3.4,3.7,N,80,19:05:00,9.7,61,8,N,26,1013.3,13.9,37,5,N,30,1006.6
2018-07-24,8.6,15.6,0.6,2.2,5.6,N,57,10:24:00,10.9,74,1,N,19,1008.6,15.5,60,4,NNW,28,1004.5
2018-07-25,8.3,15.7,6.2,4.4,7.5,NW,33,11:52:00,10.6,69,3,N,15,1016.1,14.5,47,6,W,9,1015.3
2018-07-26,7.7,15.1,0,1.8,4.8,NNW,28,13:39:00,9.2,79,7,N,11,1018.9,13.8,63,7,N,17,1015.7
2018-07-27,9.2,19.5,0,2.6,8.5,NNW,31,10:32:00,11.6,69,4,N,15,1014.1,19,45,1,NNW,13,1011.4
2018-07-28,8.4,18.6,0,4.4,2.9,N,33,14:20:00,12.3,71,4,NE,9,1013,17.5,47,7,N,20,1008.8
2018-07-29,10.8,14.6,2,1.6,6.1,NW,52,11:04:00,11.8,62,1,WNW,17,1002.7,12.1,56,7,WNW,20,1004.5
2018-07-30,8.2,12.6,0.4,3.2,0.7,N,57,23:59:00,10.1,69,7,NNW,11,1016.2,11.7,56,7,N,20,1013.8
2018-07-31,8.3,16.2,0,3.2,8,N,57,01:17:00,10.6,66,1,N,15,1011.9,15.2,51,2,NNW,24,1008.4
2018-08-1,9.9,14.8,1.6,4,8.5,W,28,00:52:00,11.1,69,3,NW,7,1019.2,13.7,56,5,SSW,9,1019.7
2018-08-2,4.9,16.1,0,1.4,9.1,NNE,44,12:25:00,7.8,79,2,NNE,9,1022.1,15.7,46,1,N,20,1016.1
2018-08-3,7.8,18.4,0,6.2,2.9,NNW,61,11:54:00,15.6,37,7,N,9,1006,15.9,43,7,NNW,19,999.9
2018-08-4,8,15.3,1.6,3.2,5.2,N,41,10:35:00,10.6,75,1,N,17,1011.6,13.1,67,7,N,19,1010.1
2018-08-5,10.6,17.6,0,2,8.4,N,57,11:29:00,11.3,57,7,N,22,1010,17,37,1,N,33,1003.4
2018-08-6,9.4,13.8,0,7.6,5.1,NNW,54,15:32:00,10.1,68,6,N,13,999.5,12.8,52,7,NNW,24,997.3
2018-08-7,7.3,14.8,0,2,5.7,NW,46,14:33:00,9.7,63,5,NNW,13,1007,13.9,45,7,NW,15,1007.8
2018-08-8,9.6,16,1,4.6,3.6,NNW,48,02:59:00,11.9,71,4,N,17,1008.3,12.8,80,7,WSW,11,1010.4
2018-08-9,5.6,15.4,2.2,1.8,3.6,N,41,14:33:00,9.4,67,7,N,11,1022.2,12.7,57,7,N,26,1018.9
2018-08-10,9.4,20,0,4,9.3,N,70,10:14:00,15.3,44,5,N,26,1012.3,19.2,38,4,N,30,1006.6
2018-08-11,8.1,14.7,10.4,7.8,2.9,NNW,39,00:15:00,8.5,94,7,WNW,7,1006.6,13.7,45,7,WNW,13,1005.9
2018-08-12,5.4,14.8,4.6,3,7.4,NW,41,15:36:00,7.9,68,1,NW,11,1019.2,14.2,46,5,WNW,13,1018.6
2018-08-13,7.9,14.9,0,3.6,2.5,W,35,18:17:00,12.7,71,7,WNW,13,1023.6,14.1,63,7,W,15,1023.3
2018-08-14,9.4,16.7,0.2,1.4,10.2,NNW,56,14:48:00,11.6,72,1,N,15,1021.8,16.1,53,1,N,28,1015.9
2018-08-15,11.5,18.4,0,8,6.7,N,54,00:55:00,13.8,51,4,NNW,15,1006.2,17,36,6,WNW,15,1005.2
2018-08-16,8.7,14.7,0.2,4.8,7.5,NW,30,09:27:00,10.8,63,1,NW,15,1013,13.7,48,6,W,13,1012.6
2018-08-17,7.7,15.9,0,3.4,7.9,N,52,23:58:00,10.6,64,4,N,11,1014,15.1,41,3,NNW,19,1010.5
2018-08-18,8.9,13.8,2.2,4,7.3,WNW,52,18:34:00,10.6,65,1,NNW,15,1008.5,9.6,59,6,WNW,20,1008.8
2018-08-19,6.7,11.9,9.2,4.2,4.8,S,48,13:54:00,7.1,76,7,W,15,1018.6,10.9,64,6,SSW,13,1022.8
2018-08-20,5.5,12.4,2,1.8,0.5,NW,30,13:11:00,8.9,67,7,WNW,9,1024.3,10.3,77,7,WNW,7,1020.1
2018-08-21,8.6,12.4,1.2,2,1.3,NW,24,06:41:00,9.8,73,4,NW,13,1017.6,11.2,75,7,SW,7,1014.4
2018-08-22,8.7,14,1,1.2,1.6,N,24,11:21:00,10.7,73,7,W,4,1017.5,13.2,55,7,NE,7,1015.6
2018-08-23,5.6,16,0,2.2,7.8,NNE,19,04:33:00,8.8,79,1,NE,7,1020.5,14.9,50,6,SSW,7,1019
2018-08-24,4.8,15.4,0,1.5,10.5,SSW,20,14:46:00,8.5,77,1,NE,7,1025,14.2,54,1,SSW,13,1023.1
2018-08-25,3.9,15.2,0,3,10.5,SSW,20,14:26:00,8,74,0,NE,6,1022.8,14.2,54,1,SSW,13,1018.3
2018-08-26,4.9,14.7,0,2,8.8,WSW,33,15:09:00,7.7,87,1,NA,Calm,1018.6,13.8,56,7,SW,11,1017.4
2018-08-27,6.8,12.9,3.6,3,10.3,S,33,14:12:00,8.6,78,6,SSE,7,1026.6,11.5,55,3,SSW,17,1026
2018-08-28,1.9,11.2,0.2,3,9.5,SW,26,15:19:00,6.3,81,1,NE,6,1025.8,10,64,7,SSW,13,1022.6
2018-08-29,0.8,12.5,0,1.2,10.8,SSW,22,12:37:00,5.3,70,1,NNE,7,1023,11.1,58,1,SSW,11,1019.7
2018-08-30,4.8,16.7,0,4,0,N,37,09:19:00,8.9,59,7,NNE,9,1017.3,9.8,72,7,NNE,13,1013.8
2018-08-31,8.9,16,1.6,3.2,1.2,N,56,03:20:00,12.3,65,8,N,15,999.8,14.1,67,7,N,6,997.7
2018-09-1,10.5,13.4,2.2,2,4.4,W,30,09:30:00,12.4,68,2,W,11,1010.8,10.6,81,8,SSW,9,1012.9
2018-09-2,5,12.3,3,2.2,9,SSE,28,16:07:00,9.1,77,3,SSW,11,1022,11.9,61,7,SSE,11,1022.6
2018-09-3,5,13.1,0,2.6,9.2,SW,26,14:35:00,10.2,75,6,S,2,1029.9,12.3,57,5,SSW,17,1028.3
2018-09-4,3.4,19.5,0,2.2,10.7,NNE,19,15:28:00,8.4,77,1,N,7,1029.6,18.9,37,2,NNW,7,1025.4
2018-09-5,8.1,20.2,0,4.4,10.4,NNE,46,10:58:00,15.4,55,2,NNE,13,1022.9,20,37,7,N,22,1018.1
2018-09-6,13.8,20.6,0,6.4,5.9,NNE,54,13:34:00,15.8,56,6,NNE,22,1011.6,19.1,54,7,N,24,1006.2
2018-09-7,8.7,15.1,3.4,0.4,6.5,W,24,02:30:00,10.7,73,7,WSW,7,1017.1,14.1,51,5,S,9,1015.7
2018-09-8,4.2,17.5,0.2,2,10.6,NNW,28,15:09:00,8.6,77,1,NE,9,1018.7,16.5,33,7,NNW,15,1015.1
2018-09-9,8.6,18.1,0,3,3.4,NW,39,12:29:00,14.4,57,7,NW,13,1019,16.9,60,7,W,13,1019
2018-09-10,13.4,18,0,3.8,3.2,SW,20,09:12:00,15.1,67,7,NW,6,1025.8,17.3,60,7,NNW,2,1023.9
2018-09-11,9.1,24.2,0,3,10.7,N,61,15:14:00,16.8,64,0,N,19,1017,23.1,39,2,N,33,1008.2
2018-09-12,11.7,18.5,0,9.4,9.2,W,41,00:05:00,12.5,50,3,NNW,19,1015,17.6,32,5,W,13,1014.2
2018-09-13,7.1,19.7,0,6.8,10.9,N,37,16:51:00,13.8,54,1,N,9,1020.2,19.2,37,1,N,17,1017
2018-09-14,10.9,22.7,0,4.8,10.2,NNW,46,09:41:00,15.7,45,0,N,22,1015.9,22.5,32,2,NNW,20,1009.8
2018-09-15,10.2,13.7,0.2,8.2,4.8,WNW,50,08:23:00,10.2,77,8,W,24,1003.1,11.2,52,5,WSW,17,1008.6
2018-09-16,5.5,14,2,5.6,8.4,NW,33,00:38:00,9.8,64,1,WNW,11,1021.8,12.6,53,7,SSW,7,1021.6
2018-09-17,6.7,18.1,0,3,10.4,N,48,15:11:00,12.3,52,5,N,15,1021.9,17.1,35,4,N,26,1016.8
2018-09-18,11,20.3,0,10.4,6.3,N,59,11:59:00,14.6,31,5,N,30,1010.6,19.1,28,7,NW,17,1007.1
2018-09-19,8.5,14.7,3,4.6,8.6,SSW,31,15:48:00,10.4,63,3,WSW,15,1013.3,12.7,57,5,SSW,13,1014.4
2018-09-20,3.8,17.4,0.8,3.8,9.6,SSW,20,10:16:00,11.1,66,1,NNW,9,1021.1,16.3,43,4,S,9,1021.1
2018-09-21,8.3,18.9,0,3.4,7.6,SSW,31,13:03:00,13,67,7,NNW,9,1027.3,17.6,46,3,S,9,1025.1
2018-09-22,6.8,17.3,0,2.6,10.8,SSW,35,15:51:00,13.4,69,1,SE,4,1027.5,15.2,61,6,S,17,1025.7
2018-09-23,10.4,13.7,0.2,3.8,1.5,S,39,14:45:00,11.7,67,8,S,11,1030.9,12.9,52,5,S,17,1031.1
2018-09-24,4.6,14.9,0,3.4,11,SSW,37,16:05:00,12.3,49,5,S,11,1032.2,14.5,57,3,SSW,13,1029
2018-09-25,8.6,13.6,0,4.6,4.7,S,35,16:00:00,11.3,68,7,SSE,9,1029.2,12.6,59,7,SSW,17,1026.5
2018-09-26,6.4,17.6,0,2.2,11.4,SSW,20,13:34:00,10.2,68,1,NE,6,1024.4,17,47,1,SSW,11,1019.2
2018-09-27,9.2,24.2,0,8,10.9,N,48,08:27:00,16.9,46,4,N,20,1016,23.8,28,1,N,22,1011.3
2018-09-28,10.7,15.2,0,5.6,2.9,S,44,12:38:00,13.1,66,7,NW,11,1015.7,12.6,73,7,SSW,13,1015.5
2018-09-29,5.5,14,1.2,3,5.1,W,28,09:35:00,10.3,60,6,SW,9,1025.9,12.8,51,7,S,11,1026.3
2018-09-30,6.8,16.5,0.2,3.4,6.7,SSW,22,15:44:00,11.7,73,7,SW,7,1031.7,15.6,47,1,SSW,9,1028.4
2018-10-1,4.7,23.3,0,2.4,10.9,N,35,10:51:00,13.2,62,6,NNE,9,1027.2,20.9,33,1,SW,15,1023.5
2018-10-2,11.4,25.8,0,5.2,4,N,39,15:07:00,14.7,54,7,NNE,9,1024.6,25.1,29,7,NNW,20,1017.9
2018-10-3,14.7,18.1,0,8.8,1.5,SSW,33,09:01:00,17.9,56,7,SSW,13,1016.8,15.5,73,8,S,13,1017
2018-10-4,10.9,14.6,0,4.8,1,S,33,13:48:00,12.1,66,8,S,13,1022.9,13.8,70,7,SSW,15,1021.3
2018-10-5,9.1,20.5,0,3,11.7,SE,31,13:55:00,14.2,62,1,SSE,13,1025.9,20.1,40,1,SE,13,1022.7
2018-10-6,8.3,23.8,0,6.2,11.1,N,37,09:04:00,17.9,44,1,NNW,20,1023.9,23,36,1,SW,9,1020.6
2018-10-7,10.3,24.7,0,5,6.2,SW,24,12:52:00,14.4,65,1,NNE,9,1022.8,23.8,33,7,S,13,1019.9
2018-10-8,13.5,28.2,0,4.8,7.1,WNW,30,18:28:00,16.6,61,4,NNE,7,1019.2,26.7,28,6,S,11,1015.7
2018-10-9,16.1,17.9,NA,5.4,0,S,35,18:03:00,16.6,80,8,SSW,4,1015.3,14.9,100,8,S,13,1015.4
2018-10-10,10.1,16.5,NA,4.4,11.6,ESE,50,17:36:00,12,61,1,SE,17,1023.1,15.4,43,6,ESE,20,1021.9
2018-10-11,6.4,20.7,0,5.2,11.7,SSE,39,15:22:00,11.2,68,1,NA,Calm,1024.7,18.6,40,1,SW,11,1022.3
2018-10-12,8.7,22.7,0,5.8,12.1,SE,31,17:26:00,13.3,73,0,NE,11,1026.6,20.8,42,1,S,17,1022.7
2018-10-13,10.5,24.9,0,6.4,12.1,NNW,35,09:02:00,16.3,51,1,NNE,13,1023.9,23.7,30,4,ESE,7,1019.7
2018-10-14,12.4,27.3,0,8.4,10.4,NNE,43,10:41:00,20.3,47,3,NNE,20,1020.9,26.6,34,7,N,20,1017.5
2018-10-15,19.5,27.5,0,10.4,5.2,NNE,46,12:16:00,21.4,45,7,NNE,22,1018.2,26.8,36,7,N,24,1014.1
2018-10-16,20,23.1,0.2,12.4,0.2,NNE,54,05:09:00,21,61,7,NNE,15,1013.2,22.2,60,7,N,15,1012.2
2018-10-17,16.1,22.6,5.2,3.4,6.2,NNW,39,13:18:00,17.7,81,6,NNE,9,1013.5,21.3,48,6,NNW,20,1010.9
2018-10-18,14.7,20.7,2,6.2,3.4,NNW,39,09:01:00,15.7,82,6,N,15,1013.9,19.7,54,7,NW,17,1013.3
2018-10-19,12.8,27.4,0,3.6,9,N,46,08:54:00,17.8,64,6,NNW,20,1015,26.5,31,7,N,22,1009.8
2018-10-20,11.7,16.1,5,9.8,3,WSW,41,02:21:00,11.8,90,7,WSW,6,1014.7,13.9,74,7,SSE,13,1014.8
2018-10-21,7.6,19.2,5.6,5.4,8.6,WNW,20,09:00:00,12.8,76,7,WSW,9,1020.4,17.9,42,5,S,13,1018.3
2018-10-22,8.9,27,0,4,12.4,NNW,44,13:44:00,16.2,59,4,NNE,13,1014.2,25.8,30,5,N,28,1010.6
2018-10-23,13,18.8,0,10.6,5.3,SSW,41,15:55:00,14.8,81,7,SW,9,1013.3,18.4,55,5,SSE,15,1014.2
2018-10-24,9.2,15.5,0,3.8,10.4,SSW,39,14:36:00,12.9,55,5,SSE,13,1023.7,14.5,49,7,SSW,17,1022.5
2018-10-25,6.4,19.5,0,4.6,12.1,SSW,35,15:06:00,12,66,1,W,6,1019.6,18.9,38,7,S,9,1017.1
2018-10-26,9.6,18.3,0,6,8.2,S,30,15:43:00,13,67,7,WNW,4,1020.7,17.9,53,7,SSW,11,1018.8
2018-10-27,11.3,19.6,0,3.4,6.7,SSW,41,19:05:00,13.1,72,7,WSW,6,1017.8,16.9,64,7,S,19,1016.3
2018-10-28,9.3,15.9,0,5.8,9.4,SSW,35,16:16:00,11.7,55,7,SSW,9,1020.4,15.5,50,1,SSW,11,1018.5
2018-10-29,9.1,17,0,6.2,10.3,SSW,33,12:09:00,12.7,54,7,S,13,1020.6,15.7,56,0,SSW,17,1017.4
2018-10-30,8.3,25.2,0,4,12.4,SSW,30,17:48:00,15.9,60,7,NA,Calm,1016.8,23.2,33,7,S,9,1014.6
2018-10-31,13,19.5,0,7.6,4.1,SSW,28,13:26:00,15.9,77,7,ESE,4,1020.2,18,72,6,SSW,13,1019.6
2018-11-1,12.8,34.3,0,2.8,3.4,NNW,39,13:36:00,16.4,81,7,E,6,1017.7,32.3,22,7,N,20,1009.6
2018-11-2,16.3,31.6,0,11.2,6.4,WNW,57,15:50:00,22.7,62,8,N,22,1008.2,29.1,46,5,NNW,20,1003.1
2018-11-3,12.6,20.9,0.2,11.2,10.4,WSW,46,23:38:00,15,52,7,NW,13,1016.6,20,37,5,W,13,1016.1
2018-11-4,9.2,20.9,0,7.8,6.8,WSW,26,09:46:00,14.5,59,8,NNW,4,1014.7,19.4,53,7,S,9,1011.4
2018-11-5,14.5,28.6,2.8,5,6,NNW,43,13:32:00,17.3,79,8,NNE,9,1005.9,26.5,44,7,NNW,20,1003.4
2018-11-6,16.3,21.4,4.4,4.8,2.2,SSW,35,17:25:00,18.5,98,8,NNW,9,1001.9,20.3,73,4,SSW,6,1002.9
2018-11-7,11.1,17.2,35.8,7.2,9.8,SSW,44,14:02:00,13.4,55,1,WSW,11,1009.9,13.9,58,7,SSW,19,1010.5
2018-11-8,7.7,17,3,3.4,8.2,SSW,28,16:02:00,12,61,1,WSW,11,1019.8,15.9,45,7,S,9,1019.2
2018-11-9,8,20,0,4.8,1.8,SSW,31,17:25:00,12.4,72,7,NNE,7,1020.3,19,37,7,W,9,1017.4
2018-11-10,9,20.3,0,2.8,11.8,SSW,26,12:18:00,16.2,64,1,NA,Calm,1019.1,20,51,7,S,9,1018.4
2018-11-11,9.3,19.6,0.2,4.8,12.8,SSW,31,15:25:00,16.5,50,1,ESE,7,1022,18.4,63,1,SSW,17,1020.5
2018-11-12,10.9,30.2,0,6.6,4.6,NNW,30,11:44:00,17.1,69,7,NE,7,1018.6,28.8,24,6,N,13,1015.4
2018-11-13,16.9,30.5,0,11.8,2.6,N,50,15:36:00,22.3,50,7,NNW,2,1011.1,30.3,29,7,N,28,1007.4
2018-11-14,14.8,17.3,6.2,11,0,SSW,28,15:21:00,15.2,100,8,SSE,9,1014.8,16,82,8,SSW,13,1015.2
2018-11-15,13.7,18.1,0.2,2,11,SW,35,12:55:00,15,53,7,S,15,1023.5,16.5,55,7,S,19,1023.4
2018-11-16,8.3,19,0,6.6,13.2,SSW,37,16:15:00,13.7,68,6,WSW,7,1021.5,17.6,56,1,SSW,13,1020.3
2018-11-17,9.6,18.1,0,6.2,12.8,SSW,43,12:52:00,14.9,55,5,SSE,17,1024.6,17.3,54,1,SSW,20,1023.5
2018-11-18,9.8,26.6,0,7,12.8,SSW,30,15:36:00,15.6,71,1,E,4,1022.8,24.3,48,1,SSW,9,1018.5
2018-11-19,15.4,30.9,0,10.6,11,NNW,41,10:48:00,22.6,38,3,N,22,1017,29.7,25,3,NNE,11,1011.9
2018-11-20,22.5,27.6,0,14.4,0.2,W,46,15:10:00,26.8,35,7,NE,7,1006.4,27.4,40,8,NE,9,1001
2018-11-21,12.3,23.2,24.2,7.4,11,NW,41,18:13:00,14.1,68,5,W,6,1002.5,20.8,44,6,S,7,998.3
2018-11-22,9.7,16.4,6.2,7.2,7,SSW,46,22:21:00,12.6,57,7,N,22,996.2,14,67,7,S,13,997.2
2018-11-23,11,14.5,6,4.6,0,WSW,48,03:28:00,11.2,86,7,W,13,1005.1,12.9,91,7,W,13,1005.3
2018-11-24,11.1,16.9,7,2,1.7,SSW,35,03:50:00,12.7,84,8,W,9,1008.3,16.1,72,7,S,15,1007.9
2018-11-25,12.7,18.8,0.8,2.4,5.6,SSW,33,15:49:00,13.6,84,7,WSW,7,1007.3,18.5,63,7,S,15,1006.5
2018-11-26,11.9,18.6,0,4.8,9.4,SSW,30,13:41:00,15.3,79,7,S,11,1009.6,17.8,63,3,S,15,1007.7
2018-11-27,14.4,20,0.2,4.8,4.2,S,35,13:31:00,16.6,70,7,ESE,9,1007.1,19.3,73,7,SSW,19,1004.9
2018-11-28,14.4,20.8,0,5.2,10.5,S,41,15:42:00,18.6,67,6,SSE,13,1008.7,19.2,64,7,S,19,1010.2
2018-11-29,13.9,18.7,0.6,5.4,5.7,SW,35,13:11:00,15.5,79,8,SSE,9,1015.1,17.9,68,4,SSW,19,1013.5
2018-11-30,14.7,20.8,0,4.6,11.5,SSW,37,13:50:00,16.7,75,7,SSW,7,1012.5,18.7,64,3,S,17,1011.4
2018-12-1,10.3,31.7,0,7,12.5,N,52,16:48:00,17.3,57,1,NNE,11,1009.9,30.6,27,2,N,24,1002.4
2018-12-2,12.2,19.5,10.4,14.6,7.8,WNW,70,02:28:00,15.4,62,5,WSW,13,1004.3,18.5,43,6,SSW,11,1005.8
2018-12-3,13.3,23.6,0,7.2,5.4,NNW,46,12:58:00,16.3,58,7,NW,13,1009.2,22.5,44,7,W,13,1009
2018-12-4,13.4,20.5,0,5.6,7.9,W,28,23:34:00,15.4,71,7,SSW,7,1018,19.7,52,5,SSW,13,1019.6
2018-12-5,13.4,25.2,0,5.4,13.8,SSW,30,14:44:00,17.1,63,7,S,7,1021.3,22.2,62,2,SSW,13,1018.9
2018-12-6,14.5,35.5,0,7.8,12.8,NNW,43,11:47:00,25.1,47,5,N,26,1017.3,33.8,30,1,N,20,1013.4
2018-12-7,25.1,38,0,15.6,8.2,N,61,13:05:00,30.8,30,3,N,24,1014.2,36.5,22,7,N,30,1010.3
2018-12-8,22.7,30.3,0,14,1,SSW,35,17:54:00,26.7,40,7,NA,Calm,1014.9,29.6,36,7,NE,7,1014.1
2018-12-9,16,20.1,1.2,4.8,0.2,S,26,23:32:00,16.9,82,8,SSE,6,1018.6,19.2,71,8,SSW,9,1016.7
2018-12-10,15.8,20.6,0,2.4,11.4,S,35,11:49:00,16.7,76,7,SW,11,1019.1,19.2,62,1,S,17,1019.2
2018-12-11,13,23.6,0,7.4,13,SSW,33,16:30:00,17,68,2,SSW,9,1018.2,20.3,68,1,SSW,15,1015.3
2018-12-12,16,33.6,0,7.4,9.8,SW,44,18:54:00,22,67,5,NNE,11,1009.9,32.7,27,2,N,17,1004.9
2018-12-13,16.9,21.1,16.2,14.2,0.4,SSW,39,09:28:00,17,100,8,W,9,998.5,20,74,7,SSE,13,997.2
2018-12-14,16.4,22.7,16.6,4.4,3.7,N,28,10:43:00,17.4,85,7,NW,7,1003.1,21.3,76,7,SSW,11,1003.6
2018-12-15,17.2,24.8,41.2,3,4.7,NNW,41,12:56:00,19.3,98,7,N,4,1005,21.5,61,6,NNW,22,1003.4
2018-12-16,15.8,23.5,3.8,3.8,3,NNW,43,12:04:00,18.6,72,7,N,15,1005.7,21.3,58,7,NW,20,1005.1
2018-12-17,15.6,21.8,2,4,4.5,SSW,31,14:15:00,18.9,80,7,SW,9,1011.7,20.6,75,7,SSE,17,1012.7
2018-12-18,16.7,20.8,0,5.2,5,SW,31,14:46:00,17.6,70,8,SE,9,1016.6,19.1,70,7,SSW,15,1015.5
2018-12-19,16.8,26.9,0,3.6,5,WSW,19,13:34:00,19.2,79,7,NA,Calm,1012.8,24.6,60,7,SSW,11,1009.9
2018-12-20,16.9,21.2,0,2.8,1.9,S,43,16:41:00,19.2,89,7,SSW,9,1010.5,19.9,75,8,SSW,22,1010.7
2018-12-21,15.4,20.9,1,4.8,2.8,S,44,16:46:00,17.8,86,7,SE,7,1010.2,19.6,77,7,S,13,1008.6
2018-12-22,14.1,19.1,9.8,10.8,10.5,SSW,35,12:14:00,16.9,62,7,SSE,13,1018.1,18.1,57,4,S,17,1019.5
2018-12-23,11.5,26.9,0,4,13.9,SSW,28,17:44:00,16.2,64,1,NNE,2,1021.9,24.4,44,1,SSW,9,1019.1
2018-12-24,14.3,34.2,0,7,13.7,N,43,13:26:00,21.8,61,0,N,11,1017.8,32.4,20,0,NNW,15,1014.1
2018-12-25,15.8,23.9,0,10.4,13.3,SSW,39,15:25:00,22.4,53,1,SSW,6,1016.5,22.3,71,2,SSW,20,1015.8
2018-12-26,13.3,23.8,0,8.2,13.6,SSW,28,14:35:00,18.3,63,1,NE,4,1016.4,21.5,65,0,SSW,13,1014.7
2018-12-27,16.2,37.4,0,NA,12.6,SSW,31,18:45:00,23,62,7,NNE,9,1009.4,32.9,33,7,SSW,9,1004.7
2018-12-28,21.9,36.4,0,NA,6.5,NNW,33,10:27:00,27.5,40,7,NE,9,1004.9,31.7,36,6,S,9,1005.4
2018-12-29,21,23.9,1.2,7.8,0.1,SW,33,23:42:00,21.4,81,7,NNW,6,1011.8,21.1,71,7,S,11,1013.1
2018-12-30,18.2,22.7,0.6,2.2,0,SSW,28,16:10:00,19.6,90,7,NA,Calm,1014.4,20.9,76,8,SSW,13,1013.4
2018-12-31,17.3,23.5,0.8,3.2,11.8,SSW,35,17:06:00,19.1,66,5,SE,6,1013.2,21.9,64,1,SW,11,1010.1
